Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Wakefield,0,0,0,0,0
Bronx,Co-op City,0,0,0,0,0
Bronx,Co-op City,4c66dcfaaebea593955a74d0,Chinese Buffet,7,5.0,10
Bronx,Fieldston,0,0,0,0,0
Bronx,Fieldston,0,0,0,0,0
Manhattan,Marble Hill,4d965fd061a3a1cde4989a42,Lucky Star Chinese Restaurant,3,7.4,5
Bronx,Norwood,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant,6,7.0,8
Bronx,Norwood,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant,5,6.0,2
Bronx,Baychester,4c1a8bac8b3aa593a8c8955f,Dragon City,1,6.8,8
Bronx,Baychester,0,0,0,0,0
Bronx,Baychester,0,0,0,0,0
Bronx,Pelham Parkway,4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant,9,7.2,10
Bronx,Pelham Parkway,0,0,0,0,0
Bronx,Pelham Parkway,0,0,0,0,0
Bronx,Pelham Parkway,0,0,0,0,0
Bronx,City Island,4bfc652bf14fa593c1f5c9d4,City Island Chinese Resturant,6,6.4,4
Bronx,Bedford Park,4e2e08021838f1c552b6b8eb,Choi Yuan - Chinese Restaurant,6,7.0,8
Bronx,Bedford Park,4e4d0387bd413c4cc66dfd72,Hung Hing Chinese Restaurant,5,6.0,2
Bronx,University Heights,0,0,0,0,0
Bronx,Morris Heights,0,0,0,0,0
Bronx,Fordham,566f33e7498e44c2501bda81,Panda Express,12,7.6,2
Bronx,Melrose,4ce9aeae678aa093b7a0efea,Merry Land Buffet,12,6.6,3
Bronx,Melrose,0,0,0,0,0
Bronx,Melrose,0,0,0,0,0
Bronx,Melrose,0,0,0,0,0
Bronx,Melrose,0,0,0,0,0
Bronx,Port Morris,0,0,0,0,0
Bronx,Port Morris,0,0,0,0,0
Bronx,Longwood,0,0,0,0,0
Bronx,Longwood,0,0,0,0,0
Bronx,Hunts Point,0,0,0,0,0
Bronx,Morrisania,0,0,0,0,0
Bronx,Soundview,0,0,0,0,0
Bronx,Soundview,0,0,0,0,0
Bronx,Country Club,0,0,0,0,0
Bronx,Country Club,0,0,0,0,0
Bronx,Parkchester,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant,6,6.9,8
Bronx,Westchester Square,0,0,0,0,0
Bronx,Spuyten Duyvil,0,0,0,0,0
Bronx,North Riverdale,4ca4fda4d971b1f77da5f2e0,Golden Phoenix Chinese Restaurant,4,5.8,1
Bronx,Pelham Bay,0,0,0,0,0
Bronx,Pelham Bay,0,0,0,0,0
Bronx,Castle Hill,0,0,0,0,0
Bronx,Olinville,0,0,0,0,0
Bronx,Olinville,0,0,0,0,0
Bronx,Olinville,0,0,0,0,0
Bronx,Olinville,0,0,0,0,0
Bronx,Olinville,0,0,0,0,0
Bronx,Pelham Gardens,0,0,0,0,0
Bronx,Concourse,4d9a695ee5fd6ea8e3096df5,Lucky House Chinese Restaurant,5,7.6,2
Bronx,Concourse,0,0,0,0,0
Bronx,Concourse,0,0,0,0,0
Bronx,Concourse,0,0,0,0,0
Bronx,Unionport,4b89b62df964a520ff4c32e3,Sabor Latino Seafood Restaurant,6,6.9,8
Bronx,Edenwald,0,0,0,0,0
Brooklyn,Bay Ridge,4b1c3b4cf964a520bb0424e3,Grand Sichuan House,37,8.3,24
Brooklyn,Bay Ridge,5553702c498ecb85f99d8f37,XIN,6,7.2,4
Brooklyn,Bay Ridge,4a5beec3f964a52006bc1fe3,86 Noodles,19,7.3,22
Brooklyn,Bensonhurst,4c65da95f7a80f47b6959c7a,Spicy Bampa,28,7.5,10
Brooklyn,Bensonhurst,574a1a53498e6a1b7cb336cb,Orchid Dynasty,6,7.4,1
